Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Slug,Название фото,photo_path,match,tier,is_stale,alias_group
Inkerman Шато Руж,Красное,Красно-рубиновый,Крым,"Каберне Совиньон, Мерло, Пино Нуар","Аромат фруктовый с оттенками смородины и вишни, вкус гармоничный, ягодно-фруктовый, с умеренной свежестью и приятной терпкостью.
",Инкерманский ЗМВ,inkerman-shato-ruzh,Инкерман Шато Руж.webp,prod-svoe-vino-strapi\Inkerman_Shato_Ruzh_85fa6ee9ce.webp,ok,1,False,
"KAFFA ""Вионье""",Белое,Насыщенный лимонный,Крым,Вионье,"В аромате абрикос, спелый персик, нектарин, дыня и липовый цвет. Вкус объёмный, с умеренной аккуратной кислотностью и выразительным длительным послевкусием, сотканным из нот лимонного джема, спелых персиков и абрикосов.",Золотое Поле,zolotoe-pole-kaffa-vione-beloe-suhoe-13,zolotoe-pole-kaffa-vione-beloe-suhoe-13.webp,prod-svoe-vino-strapi\zolotoe_pole_kaffa_vione_beloe_suhoe_13_fc7fb280dc.webp,ok,1,False,
"KAFFA ""Каберне Совиньон""",Красное,Рубиновый с лёгким гранатовым оттенком,Крым,Каберне Совиньон,"В аромате черная смородина, с нюансами лакрицы, чёрной сливы и ежевичного варенья. Во вкусе среднее тело, выразительная кислотность и мягкие танины, послевкусие с нюансами чёрной смородины и лакрицы.",Золотое Поле,zolotoe-pole-kaffa-kaberne-sovinon-krasnoe-suhoe-125,zolotoe-pole-kaffa-kaberne-sovinon-krasnoe-suhoe-125.webp,prod-svoe-vino-strapi\zolotoe_pole_kaffa_kaberne_sovinon_krasnoe_suhoe_125_8eeb858fc0.webp,ok,1,False,
"KAFFA ""Каберне Фран""",Красное,Насыщенный рубиновый с гранатовым оттенком,Крым,Каберне Фран,"Аромат джема из красных ягод, графита, лакрицы и сливы.Во вкусе объёмное тело с яркой кислотностью и мощными танинами. Послевкусие с нотами малины, черешни и графита.",Золотое Поле,zolotoe-pole-kaffa-kaberne-fran-krasnoe-suhoe-14,zolotoe-pole-kaffa-kaberne-fran-krasnoe-suhoe-14.webp,prod-svoe-vino-strapi\zolotoe_pole_kaffa_kaberne_fran_krasnoe_suhoe_14_1af04dd482.webp,ok,1,False,
"KAFFA ""Мальбек""",Красное,Рубиновый с пурпурным оттенком,Крым,Мальбек,"В аромате черешня, кислая вишня, ментол и брусника. Во вкусе свежая ягодная кислотность и бархатистые танины. Послевкусие свежее, нежное, длительное с нюансами вишни, черешни и земляники.",Золотое Поле,zolotoe-pole-kaffa-malbek-krasnoe-suhoe-125,zolotoe-pole-kaffa-malbek-krasnoe-suhoe-125.webp,prod-svoe-vino-strapi\zolotoe_pole_kaffa_malbek_krasnoe_suhoe_125_59cab68c16.webp,ok,1,False,
"KAFFA ""Москато Джалло""",Белое,Лимонный с золотистым оттенком,Крым,Москато-джалло,"В аромате тона груши Дюшес, цитрусового мармелада, жасмина и сирени. Вкус объёмный, с нежной кислотностью и пышным послевкусием с нотами дюшеса, липового цвета и жасмина.",Золотое Поле,zolotoe-pole-kaffa-moskato-dzhallo-moskato-dzhallo-beloe-suhoe-135,zolotoe-pole-kaffa-moskato-dzhallo-moskato-dzhallo-beloe-suhoe-135.webp,prod-svoe-vino-strapi\zolotoe_pole_kaffa_moskato_dzhallo_moskato_dzhallo_beloe_suhoe_135_1681d08fcb.webp,ok,1,False,
"KAFFA ""Саперави""",Красное,Глубокий пурпурный,Крым,Саперави,"В аромате тона сладких пряностей, ежевики, голубики, чёрной смородины и черничного джема. Во вкусе полное тело,  хорошо сбалансированная кислотность и мощные танины. Послевкусие длительное согревающее, с нюансами специй и чёрных сладких ягод.",Золотое Поле,zolotoe-pole-kaffa-saperavi-krasnoe-suhoe-14,zolotoe-pole-kaffa-saperavi-krasnoe-suhoe-14.webp,prod-svoe-vino-strapi\zolotoe_pole_kaffa_saperavi_krasnoe_suhoe_14_d1fe213221.webp,ok,1,False,
"KAFFA ""Шардоне""",Белое,Бледно-соломенный с лёгким румяным оттенком,Крым,Шардоне,"В аромате зелёные яблоки, груша, лимон, лайм и белые полевые цветы. Вкус свежий, с яркой хрустящей кислотностью и умеренным послевкусием с нюансами зелёных яблок, груш и спелых цитрусов.",Золотое Поле,zolotoe-pole-kaffa-shardone-beloe-suhoe-125,zolotoe-pole-kaffa-shardone-beloe-suhoe-125.webp,prod-svoe-vino-strapi\zolotoe_pole_kaffa_shardone_beloe_suhoe_125_7bb0c3ca2b.webp,ok,1,False,
Kaffa Joy Malbec Glu Glu,Красное,Насыщенный красно-коралловый,Крым,Мальбек,"Букет из тёмной малины и красной вишни с цветочными и травяными штрихами повторяется в лёгком, но интенсивном вкусе с очень мягкими и гладкими танинами.",Золотое Поле,kaffa-joy-malbec-glu-glu,460110750288-no-bg-preview (carve.photos).webp,prod-svoe-vino-strapi\460110750288_no_bg_preview_carve_photos_613a90613e.webp,ok,1,False,
Kaffa Joy Malvasia  ,Белое,Соломенный,Крым,Мальвазия,"В букете – персик и айва с нотами апельсиновой цедры. Во вкусе средней полноты к ярким фруктовым тонам букета добавляются минеральные и травяные оттенки, которые становятся ещё более заметными в чуть терпковатом послевкусии.",Золотое Поле,kaffa-joy-malvasia,460110750290-no-bg-preview (carve.photos).webp,prod-svoe-vino-strapi\460110750290_no_bg_preview_carve_photos_97c4b5c7e5.webp,ok,1,False,
Kaffa Joy Merlot / Malbec,Розовое,Розовый,Крым,"Мальбек, Мерло","Яркие ароматы малины, сливы и смородины повторяются в плотном вкусе, где добавляются лёгкие оттенки корицы.",Золотое Поле,kaffa-joy-merlot-malbec,460110750289-no-bg-preview (carve.photos).webp,prod-svoe-vino-strapi\460110750289_no_bg_preview_carve_photos_4b52546c83.webp,ok,1,False,
